Event ID,Event Name,Date,City,State,Finishers,Males,Females,Male Win,Female Win,Average Time,Time STD,Elev Gain,Elev Loss,Elev Max,Elev Min,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,MAX,MIN,PRCP,DEWP,WDSP,SLP,STP,VISIB,RELHUM
41191027,Marine Corps Marathon,2019-10-27,Washington,DC,18512,10012,8500,2:27:43,2:44:47,5:06:45,0:53:38,630,593,232,2,72405013743,2019-10-27,38.8472,-77.03454,3.0,68.1,80.1,57.9,0.42,61.6,8.3,1013.7,10.6,8.2,79.72550095658508
41181028,Marine Corps Marathon,2018-10-28,Washington,DC,20699,11042,9657,2:22:50,2:40:20,4:55:29,0:53:18,630,593,232,2,72405013743,2018-10-28,38.8472,-77.03454,3.0,54.0,62.1,48.9,0.23,44.4,5.9,1008.9,6.5,10.0,69.90041597036718
41171022,Marine Corps Marathon,2017-10-22,Washington,DC,20122,10809,9313,2:25:14,2:45:07,5:03:14,0:55:14,630,593,232,2,72405013743,2017-10-22,38.8472,-77.03454,3.0,64.5,78.1,52.0,0.0,52.3,3.1,1027.9,25.6,10.0,64.5817637381319
41161030,Marine Corps Marathon,2016-10-30,Washington,DC,19724,10635,9089,2:23:53,2:51:48,5:03:33,0:57:25,630,593,232,2,72405013743,2016-10-30,38.8472,-77.03454,3.0,65.9,80.1,44.1,0.0,58.2,8.1,1014.7,12.4,10.0,76.21277492482048
41151025,Marine Corps Marathon,2015-10-25,Washington,DC,23197,12769,10428,2:24:25,2:45:56,4:54:41,0:53:45,630,593,232,2,72405013743,2015-10-25,38.8472,-77.03454,3.0,60.7,71.1,46.9,0.01,52.1,7.9,1020.6,18.3,10.0,73.28125970306249
41141026,Marine Corps Marathon,2014-10-26,Washington,DC,19661,11083,8578,2:22:12,2:51:47,4:52:16,0:53:03,630,593,232,2,72405013743,2014-10-26,38.8472,-77.03454,3.0,64.2,73.9,48.9,0.0,36.2,9.2,1007.8,5.5,10.0,35.31926855233015
41131027,Marine Corps Marathon,2013-10-27,Washington,DC,23513,13533,9980,2:21:31,2:42:15,4:44:15,0:51:42,630,593,232,2,72405013743,2013-10-27,38.8472,-77.03454,3.0,53.6,63.0,35.1,0.0,32.9,6.6,1016.9,14.5,10.0,45.24415658772722
41121028,Marine Corps Marathon,2012-10-28,Washington,DC,23519,13524,9995,2:20:20,2:42:03,4:46:05,0:49:43,630,593,232,2,72405013743,2012-10-28,38.8472,-77.03454,3.0,60.3,70.0,54.0,0.0,48.4,13.5,1008.4,6.2,9.5,64.78929276738481
41111030,Marine Corps Marathon,2011-10-30,Washington,DC,20895,12365,8530,2:19:16,2:45:28,4:43:23,0:50:40,630,593,232,2,72405013743,2011-10-30,38.8472,-77.03454,3.0,42.1,55.0,34.0,0.78,30.5,8.2,1023.0,20.7,10.0,63.23136880545864
41101031,Marine Corps Marathon,2010-10-31,Washington,DC,21874,13207,8667,2:23:30,2:39:19,4:44:50,0:51:18,630,593,232,2,72405013743,2010-10-31,38.8472,-77.03454,3.0,55.7,66.9,39.9,0.0,38.4,8.7,1012.3,9.7,10.0,52.119261149582776
41091025,Marine Corps Marathon,2009-10-25,Washington,DC,20882,12606,8276,2:21:47,2:49:48,4:41:28,0:50:20,630,593,232,2,72405013743,2009-10-25,38.8472,-77.03454,3.0,58.0,72.0,48.9,0.9,40.9,8.9,1017.3,14.0,10.0,52.87093997388755
41081026,Marine Corps Marathon,2008-10-26,Washington,DC,18219,11083,7136,2:22:44,2:48:55,4:40:44,0:49:15,630,593,232,2,72405013743,2008-10-26,38.8472,-77.03454,3.0,53.9,68.0,45.0,0.8,46.2,4.6,1013.6,11.3,9.3,75.11555407567812
41071028,Marine Corps Marathon,2007-10-28,Washington,DC,20622,12571,8051,2:22:20,2:51:14,4:41:12,0:51:00,630,593,232,2,72405013743,2007-10-28,38.8472,-77.03454,3.0,57.1,73.0,52.0,0.12,37.8,9.8,1027.3,24.9,10.0,48.39614522936255
41061029,Marine Corps Marathon,2006-10-29,Washington,DC,20879,12782,8097,2:21:21,3:00:23,4:43:42,0:49:36,630,593,232,2,72405013743,2006-10-29,38.8472,-77.03454,3.0,49.9,64.0,39.9,0.01,26.9,10.5,1007.2,4.9,10.0,40.62824846467225
41051030,Marine Corps Marathon,2005-10-30,Washington,DC,19110,11293,7817,2:22:18,2:47:10,4:50:24,0:52:51,630,593,232,2,72405013743,2005-10-30,38.8472,-77.03454,3.0,53.0,66.9,39.9,0.0,33.2,6.2,1026.3,23.9,10.0,46.80933628437899
41041031,Marine Corps Marathon,2004-10-31,Washington,DC,16379,9686,6693,2:25:35,2:48:31,4:57:19,0:51:12,630,593,232,2,72405013743,2004-10-31,38.8472,-77.03454,3.0,68.4,78.8,60.8,0.01,54.2,8.9,1009.5,999.9,6.6,60.4930419734596
41031026,Marine Corps Marathon,2003-10-26,Washington,DC,15957,9752,6205,2:25:07,2:37:59,4:48:53,0:48:32,630,593,232,2,72405013743,2003-10-26,38.8472,-77.03454,3.0,63.6,71.1,59.0,0.0,57.6,9.5,1023.0,20.6,8.6,80.81708009935731
41021027,Marine Corps Marathon,2002-10-27,Washington,DC,14086,8649,5437,2:25:01,2:57:27,4:41:34,0:48:35,630,593,232,2,72405013743,2002-10-27,38.8472,-77.03454,3.0,57.6,68.0,46.9,0.32,49.4,5.4,1019.2,999.9,9.6,74.06983186670922
41011028,Marine Corps Marathon,2001-10-28,Washington,DC,14241,8485,5756,2:28:28,2:48:13,4:38:53,0:48:41,630,593,232,2,72405013743,2001-10-28,38.8472,-77.03454,3.0,45.6,53.1,39.0,0.0,25.9,11.4,1029.6,999.9,9.9,45.81152028363176
41001022,Marine Corps Marathon,2000-10-22,Washington,DC,17007,10375,6632,2:25:50,2:47:52,4:44:46,0:50:29,630,593,232,2,72405013743,2000-10-22,38.8472,-77.03454,3.0,62.4,78.1,51.1,0.0,53.2,5.3,1027.3,999.9,8.3,71.85280137497318
57211002,St. George Marathon,2021-10-02,St. George,UT,3212,1796,1416,2:15:06,2:32:45,4:22:09,0:54:08,500,3057,5244,2685,72475423186,2021-10-02,37.1,-113.6,894.9,69.3,86.0,54.0,0.0,28.8,1.8,1017.7,916.5,10.0,21.990415431909955
57191005,St. George Marathon,2019-10-05,St. George,UT,3966,2174,1792,2:18:07,2:34:19,4:23:46,0:56:37,500,3057,5244,2685,72475423186,2019-10-05,37.1,-113.6,894.9,65.9,82.0,50.0,0.0,15.9,4.9,1017.8,916.5,10.0,14.356390989866464
57181006,St. George Marathon,2018-10-06,St. George,UT,3999,2195,1804,2:16:18,2:38:04,4:21:54,0:53:38,500,3057,5244,2685,72475423186,2018-10-06,37.1,-113.6,894.9,61.9,73.0,53.6,0.0,46.0,5.6,1008.9,908.2,9.8,55.933360889421934
57171007,St. George Marathon,2017-10-07,St. George,UT,4720,2504,2216,2:14:45,2:41:16,4:22:43,0:54:45,500,3057,5244,2685,72475423186,2017-10-07,37.1,-113.6,894.9,64.7,82.9,48.9,0.0,22.3,4.6,1014.9,913.6,10.0,19.682123392443454
57161001,St. George Marathon,2016-10-01,St. George,UT,5417,2886,2531,2:16:09,2:40:45,4:28:51,0:55:18,500,3057,5244,2685,72475423186,2016-10-01,37.1,-113.6,894.9,75.0,89.6,62.6,0.0,48.6,5.1,9999.9,914.1,10.0,39.33643318353274
57151003,St. George Marathon,2015-10-03,St. George,UT,5462,2920,2542,2:19:30,2:43:14,4:22:11,0:53:19,500,3057,5244,2685,72475423186,2015-10-03,37.1,-113.6,894.9,71.3,82.4,57.2,0.0,35.4,4.9,9999.9,904.6,10.0,26.796651126506188
57141004,St. George Marathon,2014-10-04,St. George,UT,5799,3074,2725,2:19:06,2:43:28,4:21:33,0:53:28,500,3057,5244,2685,72475423186,2014-10-04,37.1,-113.6,894.9,69.7,87.8,55.4,0.0,33.3,2.9,9999.9,918.8,9.8,26.02422208538992
57131005,St. George Marathon,2013-10-05,St. George,UT,5819,3163,2656,2:15:56,2:37:08,4:16:26,0:52:40,500,3057,5244,2685,72475423186,2013-10-05,37.1,-113.6,894.9,56.4,73.4,46.4,0.0,20.4,10.7,9999.9,923.5,10.0,24.38563519594529
57121006,St. George Marathon,2012-10-06,St. George,UT,5696,3106,2590,2:21:14,2:43:00,4:19:30,0:51:04,500,3057,5244,2685,72475423186,2012-10-06,37.1,-113.6,894.9,72.0,84.2,59.0,0.0,28.0,2.2,9999.9,912.8,10.0,19.414176584000383
57111001,St. George Marathon,2011-10-01,St. George,UT,5700,3157,2543,2:24:43,2:44:00,4:25:14,0:51:37,500,3057,5244,2685,72092299999,2011-10-01,37.0363889,-113.510305,879.0,80.0,95.0,68.0,0.0,42.5,7.4,9999.9,999.9,10.0,26.46036545679825
57101002,St. George Marathon,2010-10-02,St. George,UT,5697,3240,2457,2:22:08,2:45:15,4:24:33,0:52:56,500,3057,5244,2685,72475593129,2010-10-02,37.7086,-113.0944,1702.6,67.8,87.1,48.9,0.0,36.2,4.0,1016.8,832.6,10.0,31.173033368819475
57091003,St. George Marathon,2009-10-03,St. George,UT,5618,3145,2473,2:21:03,2:48:29,4:15:13,0:49:42,500,3057,5244,2685,72475423186,2009-10-03,37.1,-113.6,894.9,64.3,80.6,50.0,0.0,15.6,3.2,9999.9,906.4,10.0,14.982309567819376
57081004,St. George Marathon,2008-10-04,St. George,UT,5030,2850,2180,2:22:22,2:49:49,4:17:34,0:49:44,500,3057,5244,2685,72475423186,2008-10-04,37.1,-113.6,894.9,68.7,82.4,57.2,0.0,41.2,8.6,9999.9,905.2,10.0,36.74665379556633
57071006,St. George Marathon,2007-10-06,St. George,UT,5155,2926,2229,2:16:42,2:36:06,4:11:42,0:49:41,500,3057,5244,2685,72475423186,2007-10-06,37.1,-113.6,894.9,57.5,66.2,48.2,0.0,23.4,13.4,9999.9,999.9,10.0,26.601750065735825
57061007,St. George Marathon,2006-10-07,St. George,UT,4761,2731,2030,2:18:25,2:37:19,4:15:49,0:50:11,500,3057,5244,2685,72475423186,2006-10-07,37.1,-113.6,894.9,58.8,73.4,48.2,0.0,39.8,4.0,9999.9,999.9,10.0,49.2305699860358
57051001,St. George Marathon,2005-10-01,St. George,UT,4610,2663,1947,2:22:23,2:42:58,4:19:17,0:51:16,500,3057,5244,2685,72475499999,2005-10-01,37.091,-113.593,896.0,72.2,91.4,55.4,0.0,25.2,3.1,9999.9,999.9,10.0,17.177432584028633
57041002,St. George Marathon,2004-10-02,St. George,UT,4587,2722,1865,2:23:37,2:44:55,4:16:49,0:49:27,500,3057,5244,2685,72475499999,2004-10-02,37.091,-113.593,896.0,70.6,86.0,59.0,0.0,38.6,3.2,9999.9,999.9,10.0,31.127227113220624
57031004,St. George Marathon,2003-10-04,St. George,UT,4433,2640,1793,2:20:35,2:40:25,4:14:16,0:47:43,500,3057,5244,2685,72475499999,2003-10-04,37.091,-113.593,896.0,69.4,82.4,59.0,0.0,44.3,4.3,9999.9,999.9,10.0,40.40903889326827
57021005,St. George Marathon,2002-10-05,St. George,UT,4226,2506,1720,2:16:24,2:43:44,4:12:16,0:47:51,500,3057,5244,2685,72475499999,2002-10-05,37.091,-113.593,896.0,61.5,77.0,50.0,0.0,36.7,1.7,9999.9,999.9,9.9,39.610298721781966
57011006,St. George Marathon,2001-10-06,St. George,UT,4044,2527,1517,2:20:43,2:43:58,4:12:54,0:47:08,500,3057,5244,2685,72475499999,2001-10-06,37.091,-113.593,896.0,74.6,84.2,66.2,0.0,41.0,7.2,9999.9,999.9,9.9,29.85855717972809
57001007,St. George Marathon,2000-10-07,St. George,UT,4153,2513,1640,2:21:06,2:51:02,4:13:04,0:47:09,500,3057,5244,2685,72475499999,2000-10-07,37.091,-113.593,896.0,76.0,91.4,60.8,0.0,30.4,3.0,9999.9,999.9,10.0,18.723636857557413
474211128,Seattle Marathon,2021-11-28,Seattle,WA,1030,713,317,2:29:32,2:56:45,4:24:37,0:50:39,931,929,192,21,72793524234,2021-11-28,47.54554,-122.31475,7.6,57.6,61.0,46.9,0.26,52.1,11.2,1017.1,15.7,7.0,81.86160563741011
474191201,Seattle Marathon,2019-12-01,Seattle,WA,1756,1192,564,2:33:17,3:04:00,4:24:14,0:51:33,931,929,192,21,72793524234,2019-12-01,47.53028,-122.30083,6.1,39.6,48.0,24.1,0.0,26.3,2.6,1013.6,12.6,10.0,58.64678524875573
474181125,Seattle Marathon,2018-11-25,Seattle,WA,1461,968,493,2:27:21,2:54:49,4:25:41,0:55:46,931,929,192,21,72793524234,2018-11-25,47.53028,-122.30083,6.1,41.0,48.9,33.1,0.0,36.3,1.4,1021.7,20.7,9.9,83.21587824457886
474171126,Seattle Marathon,2017-11-26,Seattle,WA,1439,900,539,2:34:04,3:05:37,4:36:56,0:59:15,931,929,192,21,72793524234,2017-11-26,47.53028,-122.30083,6.1,49.8,57.0,41.0,0.23,47.2,4.8,1002.2,1.0,9.5,90.7307087973288
474161127,Seattle Marathon,2016-11-27,Seattle,WA,1596,978,618,2:33:58,2:55:10,4:28:33,0:57:17,931,929,192,21,72793524234,2016-11-27,47.53028,-122.30083,6.1,45.2,48.9,42.8,0.47,43.6,5.4,1004.6,3.4,9.3,94.0863797576348
474151129,Seattle Marathon,2015-11-29,Seattle,WA,1716,1071,645,2:38:15,2:58:39,4:28:23,0:57:06,931,929,192,21,72793524234,2015-11-29,47.53028,-122.30083,6.1,34.3,46.0,25.0,0.0,29.4,1.1,1023.6,22.6,3.6,82.07355884612257
474141130,Seattle Marathon,2014-11-30,Seattle,WA,1867,1193,674,2:34:21,2:57:30,4:32:06,0:58:13,931,929,192,21,72793524234,2014-11-30,47.53028,-122.30083,6.1,31.5,43.0,25.0,0.06,19.9,2.4,1022.4,21.4,10.0,61.80486590801385
474131201,Seattle Marathon,2013-12-01,Seattle,WA,2205,1385,820,2:32:24,2:58:25,4:29:52,0:53:53,931,929,192,21,72793524234,2013-12-01,47.53028,-122.30083,6.1,53.7,55.9,44.1,0.07,46.7,11.0,1016.2,14.7,9.4,77.10861966279036
474121125,Seattle Marathon,2012-11-25,Seattle,WA,2239,1428,811,2:28:26,2:47:04,4:23:04,0:53:04,931,929,192,21,72793524234,2012-11-25,47.53028,-122.30083,6.1,42.2,48.0,36.0,0.0,38.7,1.5,1025.6,24.7,5.4,87.30891168892396
474111127,Seattle Marathon,2011-11-27,Seattle,WA,2047,1306,741,2:29:54,3:03:39,4:24:24,0:48:14,931,929,192,21,72793524234,2011-11-27,47.53028,-122.30083,6.1,49.4,55.9,46.9,0.07,44.6,6.6,1018.5,21.3,9.4,83.46192871664134
474101128,Seattle Marathon,2010-11-28,Seattle,WA,2505,1546,959,2:30:53,3:04:16,4:21:16,0:46:37,931,929,192,21,72793524234,2010-11-28,47.53028,-122.30083,6.1,40.0,45.0,37.0,0.03,36.5,2.9,1015.8,14.5,8.5,87.19119833550599
474091129,Seattle Marathon,2009-11-29,Seattle,WA,2229,1430,799,2:32:26,2:58:58,4:20:37,0:47:53,931,929,192,21,72793524234,2009-11-29,47.53028,-122.30083,6.1,51.1,54.0,50.0,0.0,44.1,7.6,1027.7,26.8,10.0,76.8782326141645
474081130,Seattle Marathon,2008-11-30,Seattle,WA,2128,1356,772,2:33:54,3:02:04,4:21:14,0:46:56,931,929,192,21,72793524234,2008-11-30,47.53028,-122.30083,6.1,54.0,57.0,53.1,0.02,52.8,2.9,1027.0,25.8,5.0,95.70096134973618
474071125,Seattle Marathon,2007-11-25,Seattle,WA,2012,1263,749,2:27:11,2:59:19,4:23:34,0:57:09,931,929,192,21,72793524234,2007-11-25,47.53028,-122.30083,6.1,40.2,48.0,30.2,0.0,34.4,1.5,1024.1,23.3,7.4,79.60277479354161
474061126,Seattle Marathon,2006-11-26,Seattle,WA,2052,1311,741,2:27:51,3:01:36,4:22:31,0:46:21,931,929,192,21,72793524234,2006-11-26,47.53028,-122.30083,6.1,39.1,43.0,33.1,0.02,30.3,5.9,1002.3,1.3,8.8,70.45218899150541
474051127,Seattle Marathon,2005-11-27,Seattle,WA,2248,1407,841,2:24:24,3:07:44,4:21:50,0:56:29,931,929,192,21,72793524234,2005-11-27,47.53028,-122.30083,6.1,39.2,46.0,34.0,0.02,34.4,3.9,1025.6,24.6,9.5,82.76089263903742
